Weather,City Name,City ID
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",Yangjiafang,1928100
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Gardone Riviera,3176312
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Condezaygues,6449309
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Pueblo Juárez,3815479
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Zungeru,2317569
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Bagenalstown,2966800
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Punxín,3112638
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Dintesheim,6554835
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Wangi,8074741
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Calera de León,2520529
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Poggio San Vicino,3170434
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Chapaev,610132
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Hohenwutzen,2901333
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Pie' del Colle,3170856
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Niederbeisheim,2863618
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Matrice,3173709
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Pourrain,6454866
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Rognes,2983127
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Racksen,6553437
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Niesky,2862460
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Whitfield,4230822
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Hourtin,6454003
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",Linghu,1803520
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Halfeti,312862
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Saon,6427502
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Fairford Reserve,5950954
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Le Bouchaud,6456646
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",San Antonio,4171771
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Drăguşeni,678886
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Kouffo Department,2597273
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Torlengua,6361213
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",Kazimierza Wielka,769346
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",Jinglou,1805614
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Hennepin,5029877
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",Laban,7375664
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Challes,3027508
